game,seed,teamset,adaptive_persistent,adaptive_reset,full,intentional,p1_resp_obs,p1_p_play_num,p1_p_disc_num,p1_p_play_color,p1_p_disc_color,p1_giving_obs,p1_giving_play_bias,p1_giving_color_bias,p1_giving_conservatism,p1_giving_coverage,p2_resp_obs,p2_p_play_num,p2_p_disc_num,p2_p_play_color,p2_p_disc_color,p2_giving_obs,p2_giving_play_bias,p2_giving_color_bias,p2_giving_conservatism,p2_giving_coverage,p3_resp_obs,p3_p_play_num,p3_p_disc_num,p3_p_play_color,p3_p_disc_color,p3_giving_obs,p3_giving_play_bias,p3_giving_color_bias,p3_giving_conservatism,p3_giving_coverage,ma50_adaptive_persistent,ma50_adaptive_reset,ma50_full,ma50_intentional,diff_persistent_reset,diff_persistent_full,diff_persistent_intentional
11,1205740388,5,13,13,13,13,37,0.3157894736842105,0.5789473684210527,0.25,0.5416666666666666,7,0.8571428571428571,0.2857142857142857,7.0,0.39285714285714285,32,0.52,0.08,0.46153846153846156,0.15384615384615385,92,0.6467391304347827,0.25,5.3478260869565215,0.36050724637681164,44,0.6190476190476191,0.047619047619047616,0.6896551724137931,0.06896551724137931,55,0.6909090909090909,0.8,5.3090909090909095,0.3515151515151515,13.727272727272727,13.636363636363637,12.454545454545455,13.090909090909092,0,0,0
12,1205740389,5,11,14,15,11,39,0.35,0.55,0.24,0.56,8,0.875,0.25,7.0,0.375,33,0.5,0.07692307692307693,0.46153846153846156,0.15384615384615385,100,0.6300000000000001,0.25,5.39,0.3616666666666667,49,0.6086956521739131,0.043478260869565216,0.65625,0.0625,57,0.6885964912280702,0.8070175438596491,5.333333333333333,0.3611111111111111,13.5,13.666666666666666,12.666666666666666,12.916666666666666,-3,-4,0
13,1205740390,5,14,13,15,14,39,0.35,0.55,0.24,0.56,9,0.8888888888888888,0.3333333333333333,7.0,0.3611111111111111,37,0.5,0.07142857142857142,0.5333333333333333,0.13333333333333333,111,0.6171171171171171,0.26126126126126126,5.387387387387387,0.35960960960960964,53,0.6153846153846154,0.038461538461538464,0.6363636363636364,0.06060606060606061,61,0.6762295081967213,0.7868852459016393,5.311475409836065,0.3620218579234972,13.538461538461538,13.615384615384615,12.846153846153847,13.0,1,-1,0
14,1205740391,5,13,14,14,13,44,0.30434782608695654,0.5217391304347826,0.2962962962962963,0.5185185185185185,10,0.9,0.3,7.0,0.375,41,0.4838709677419355,0.06451612903225806,0.5625,0.125,119,0.634453781512605,0.2605042016806723,5.378151260504202,0.35854341736694684,55,0.6153846153846154,0.038461538461538464,0.6,0.05714285714285714,67,0.6604477611940298,0.7761194029850746,5.298507462686567,0.3669154228855721,13.5,13.642857142857142,12.928571428571429,13.0,-1,-1,0
15,1205740392,5,13,13,13,11,48,0.2916666666666667,0.5416666666666666,0.3,0.5333333333333333,11,0.8787878787878788,0.36363636363636365,7.0,0.4090909090909091,41,0.4838709677419355,0.06451612903225806,0.5625,0.125,132,0.61489898989899,0.25757575757575757,5.393939393939394,0.36489898989898994,60,0.6333333333333333,0.03333333333333333,0.6111111111111112,0.05555555555555555,69,0.6654589371980676,0.782608695652174,5.318840579710145,0.37077294685990336,13.466666666666667,13.6,12.933333333333334,12.866666666666667,0,0,2
16,1205740393,5,12,14,12,13,49,0.28,0.56,0.3,0.5333333333333333,12,0.8055555555555555,0.4166666666666667,7.0,0.3958333333333333,47,0.5142857142857142,0.05714285714285714,0.5555555555555556,0.1111111111111111,139,0.6199040767386091,0.2517985611510791,5.410071942446043,0.3627098321342926,60,0.6333333333333333,0.03333333333333333,0.6111111111111112,0.05555555555555555,78,0.672008547008547,0.7692307692307693,5.346153846153846,0.36645299145299143,13.375,13.625,12.875,12.875,-2,0,-1
17,1205740394,5,15,15,13,10,52,0.2962962962962963,0.5555555555555556,0.3225806451612903,0.5161290322580645,13,0.8205128205128205,0.38461538461538464,7.0,0.40384615384615385,49,0.4864864864864865,0.05405405405405406,0.5555555555555556,0.1111111111111111,146,0.6312785388127854,0.2465753424657534,5.404109589041096,0.36073059360730597,66,0.65625,0.03125,0.65,0.05,83,0.6757028112449799,0.7831325301204819,5.337349397590361,0.37751004016064255,13.470588235294118,13.705882352941176,12.882352941176471,12.705882352941176,0,2,5
18,1205740395,5,14,14,13,13,54,0.2857142857142857,0.5714285714285714,0.3125,0.53125,14,0.7619047619047619,0.42857142857142855,7.0,0.4107142857142857,56,0.4878048780487805,0.04878048780487805,0.6190476190476191,0.09523809523809523,151,0.6368653421633554,0.23841059602649006,5.397350993377484,0.3570640176600442,68,0.6470588235294118,0.029411764705882353,0.65,0.05,90,0.6842592592592592,0.7888888888888889,5.333333333333333,0.3731481481481481,13.5,13.722222222222221,12.88888888888889,12.722222222222221,0,1,1
19,1205740396,5,13,13,15,14,56,0.2857142857142857,0.5714285714285714,0.29411764705882354,0.5588235294117647,14,0.7619047619047619,0.42857142857142855,7.0,0.4107142857142857,56,0.4878048780487805,0.04878048780487805,0.6190476190476191,0.09523809523809523,163,0.6186094069529653,0.25153374233128833,5.423312883435583,0.35838445807770963,71,0.6756756756756757,0.02702702702702703,0.65,0.05,96,0.6883680555555555,0.7916666666666666,5.364583333333333,0.37065972222222215,13.473684210526315,13.68421052631579,13.0,12.789473684210526,0,-2,-1
20,1205740397,5,16,12,14,13,56,0.2857142857142857,0.5714285714285714,0.29411764705882354,0.5588235294117647,16,0.7916666666666666,0.375,7.0,0.40625,60,0.5,0.047619047619047616,0.5416666666666666,0.08333333333333333,172,0.6240310077519381,0.25,5.4186046511627906,0.35707364341085274,76,0.6842105263157895,0.02631578947368421,0.6818181818181818,0.045454545454545456,99,0.6776094276094276,0.7878787878787878,5.363636363636363,0.3695286195286195,13.6,13.6,13.05,12.8,4,2,3
