label,mean,std,min,max
adaptive_persistent,13.176,1.2777545369344836,9,18
adaptive_reset,13.068,1.2533742246220585,9,17
full,12.452,1.2780177343563466,9,16
intentional,12.13,1.1993909031414813,8,16
