game,seed,teamset,adaptive_persistent,adaptive_reset,full,intentional,p1_resp_obs,p1_p_play_num,p1_p_disc_num,p1_p_play_color,p1_p_disc_color,p1_giving_obs,p1_giving_play_bias,p1_giving_color_bias,p1_giving_conservatism,p1_giving_coverage,p2_resp_obs,p2_p_play_num,p2_p_disc_num,p2_p_play_color,p2_p_disc_color,p2_giving_obs,p2_giving_play_bias,p2_giving_color_bias,p2_giving_conservatism,p2_giving_coverage,p3_resp_obs,p3_p_play_num,p3_p_disc_num,p3_p_play_color,p3_p_disc_color,p3_giving_obs,p3_giving_play_bias,p3_giving_color_bias,p3_giving_conservatism,p3_giving_coverage,ma50_adaptive_persistent,ma50_adaptive_reset,ma50_full,ma50_intentional,diff_persistent_reset,diff_persistent_full,diff_persistent_intentional
1,1205740378,3,17,17,13,15,5,0.7142857142857143,0.14285714285714285,0.5,0.25,0,0.5,0.5,4.0,0.5,2,0.3333333333333333,0.3333333333333333,0.6,0.2,10,0.55,0.3,3.9,0.35,3,0.25,0.5,0.6,0.2,7,0.6428571428571429,0.7142857142857143,3.857142857142857,0.39285714285714285,17.0,17.0,13.0,15.0,0,4,2
2,1205740379,3,17,18,16,16,9,0.7777777777777778,0.1111111111111111,0.6666666666666666,0.16666666666666666,0,0.5,0.5,4.0,0.5,3,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.16666666666666666,18,0.6944444444444444,0.2222222222222222,3.4444444444444446,0.3194444444444444,7,0.16666666666666666,0.6666666666666666,0.42857142857142855,0.42857142857142855,15,0.6444444444444444,0.7333333333333333,3.4,0.4166666666666667,17.0,17.5,14.5,15.5,-1,1,1
3,1205740380,3,18,14,13,14,15,0.8461538461538461,0.07692307692307693,0.75,0.125,1,1.0,0.0,7.0,0.5,7,0.5,0.25,0.6666666666666666,0.1111111111111111,25,0.7066666666666667,0.2,3.4,0.36,8,0.14285714285714285,0.7142857142857143,0.42857142857142855,0.42857142857142855,22,0.6212121212121212,0.6818181818181818,3.272727272727273,0.3977272727272727,17.333333333333332,16.333333333333332,14.0,15.0,4,5,4
4,1205740381,3,16,16,16,11,18,0.8571428571428571,0.07142857142857142,0.7,0.2,1,1.0,0.0,7.0,0.5,9,0.4,0.2,0.7,0.1,32,0.71875,0.21875,3.28125,0.3828125,10,0.125,0.75,0.5,0.375,32,0.5052083333333333,0.65625,3.21875,0.40625,17.0,16.25,14.5,14.0,0,0,5
5,1205740382,3,16,15,15,15,24,0.8947368421052632,0.05263157894736842,0.7272727272727273,0.18181818181818182,1,1.0,0.0,7.0,0.5,11,0.5,0.16666666666666666,0.7272727272727273,0.09090909090909091,36,0.7083333333333334,0.25,3.388888888888889,0.375,13,0.1,0.7,0.4444444444444444,0.4444444444444444,41,0.5406504065040649,0.6585365853658537,3.292682926829268,0.4024390243902439,16.8,16.0,14.6,14.2,1,1,1
6,1205740383,3,17,17,14,13,29,0.9130434782608695,0.043478260869565216,0.75,0.16666666666666666,1,1.0,0.0,7.0,0.5,17,0.5714285714285714,0.14285714285714285,0.8125,0.0625,42,0.6904761904761905,0.2619047619047619,3.4047619047619047,0.3869047619047619,15,0.09090909090909091,0.6363636363636364,0.4,0.5,47,0.5673758865248226,0.6382978723404256,3.25531914893617,0.39893617021276595,16.833333333333332,16.166666666666668,14.5,14.0,0,3,4
7,1205740384,3,14,17,15,13,32,0.9130434782608695,0.043478260869565216,0.8,0.13333333333333333,2,1.0,0.0,7.0,0.5,21,0.625,0.125,0.8421052631578947,0.05263157894736842,49,0.6938775510204082,0.2653061224489796,3.2857142857142856,0.3877551020408163,17,0.08333333333333333,0.5833333333333334,0.36363636363636365,0.5454545454545454,56,0.5029761904761905,0.625,3.1785714285714284,0.3794642857142857,16.428571428571427,16.285714285714285,14.571428571428571,13.857142857142858,-3,-1,1
8,1205740385,3,13,14,12,14,39,0.8620689655172413,0.10344827586206896,0.8125,0.125,2,1.0,0.0,7.0,0.5,24,0.7,0.1,0.85,0.05,56,0.6696428571428571,0.25,3.1607142857142856,0.3794642857142857,19,0.07142857142857142,0.6428571428571429,0.36363636363636365,0.5454545454545454,64,0.5494791666666666,0.671875,3.296875,0.37109375,16.0,16.0,14.25,13.875,-1,1,-1
9,1205740386,3,13,14,16,12,42,0.8666666666666667,0.1,0.7777777777777778,0.16666666666666666,2,1.0,0.0,7.0,0.5,25,0.7272727272727273,0.09090909090909091,0.85,0.05,63,0.6904761904761905,0.23809523809523808,3.3174603174603177,0.373015873015873,20,0.06666666666666667,0.6666666666666666,0.36363636363636365,0.5454545454545454,73,0.5639269406392694,0.7123287671232876,3.4794520547945207,0.3561643835616438,15.666666666666666,15.777777777777779,14.444444444444445,13.666666666666666,-1,-3,1
10,1205740387,3,15,14,15,15,45,0.875,0.09375,0.7894736842105263,0.15789473684210525,2,1.0,0.0,7.0,0.5,28,0.75,0.08333333333333333,0.8636363636363636,0.045454545454545456,70,0.6928571428571428,0.22857142857142856,3.2857142857142856,0.3678571428571429,26,0.05555555555555555,0.6666666666666666,0.2857142857142857,0.5,80,0.5833333333333333,0.7125,3.475,0.35625,15.6,15.6,14.5,13.8,1,0,0
11,1205740388,3,13,14,16,15,49,0.8529411764705882,0.11764705882352941,0.8095238095238095,0.14285714285714285,2,1.0,0.0,7.0,0.5,32,0.7142857142857143,0.07142857142857142,0.875,0.041666666666666664,78,0.6858974358974359,0.21794871794871795,3.3205128205128207,0.36217948717948717,29,0.05,0.7,0.26666666666666666,0.5333333333333333,86,0.5775193798449613,0.7325581395348837,3.4767441860465116,0.3633720930232558,15.363636363636363,15.454545454545455,14.636363636363637,13.909090909090908,-1,-3,-2
12,1205740389,3,15,16,15,11,54,0.8378378378378378,0.13513513513513514,0.8260869565217391,0.13043478260869565,2,1.0,0.0,7.0,0.5,34,0.7333333333333333,0.06666666666666667,0.88,0.04,87,0.6781609195402298,0.21839080459770116,3.3333333333333335,0.3706896551724138,30,0.05,0.7,0.25,0.5625,95,0.5789473684210527,0.7157894736842105,3.431578947368421,0.3684210526315789,15.333333333333334,15.5,14.666666666666666,13.666666666666666,-1,0,4
13,1205740390,3,16,15,12,15,59,0.8292682926829268,0.14634146341463414,0.8333333333333334,0.125,2,1.0,0.0,7.0,0.5,37,0.75,0.0625,0.8888888888888888,0.037037037037037035,98,0.6683673469387755,0.21428571428571427,3.4081632653061225,0.37755102040816324,33,0.045454545454545456,0.6818181818181818,0.29411764705882354,0.5294117647058824,99,0.5858585858585859,0.7272727272727273,3.4444444444444446,0.36363636363636365,15.384615384615385,15.461538461538462,14.461538461538462,13.76923076923077,1,4,1
14,1205740391,3,15,15,16,14,64,0.8372093023255814,0.13953488372093023,0.8148148148148148,0.14814814814814814,2,1.0,0.0,7.0,0.5,41,0.7894736842105263,0.05263157894736842,0.8928571428571429,0.03571428571428571,108,0.6836419753086419,0.2037037037037037,3.3518518518518516,0.37808641975308643,35,0.043478260869565216,0.6521739130434783,0.2777777777777778,0.5555555555555556,106,0.5801886792452831,0.7169811320754716,3.4150943396226414,0.37028301886792453,15.357142857142858,15.428571428571429,14.571428571428571,13.785714285714286,0,-1,1
