game,seed,teamset,adaptive_persistent,adaptive_reset,full,intentional,p1_resp_obs,p1_p_play_num,p1_p_disc_num,p1_p_play_color,p1_p_disc_color,p1_giving_obs,p1_giving_play_bias,p1_giving_color_bias,p1_giving_conservatism,p1_giving_coverage,p2_resp_obs,p2_p_play_num,p2_p_disc_num,p2_p_play_color,p2_p_disc_color,p2_giving_obs,p2_giving_play_bias,p2_giving_color_bias,p2_giving_conservatism,p2_giving_coverage,p3_resp_obs,p3_p_play_num,p3_p_disc_num,p3_p_play_color,p3_p_disc_color,p3_giving_obs,p3_giving_play_bias,p3_giving_color_bias,p3_giving_conservatism,p3_giving_coverage,ma50_adaptive_persistent,ma50_adaptive_reset,ma50_full,ma50_intentional,diff_persistent_reset,diff_persistent_full,diff_persistent_intentional
1,1205740378,2,14,14,12,13,3,0.6,0.2,0.5,0.25,5,0.1,0.2,5.6,0.45,1,0.3333333333333333,0.3333333333333333,0.25,0.5,7,0.5,0.2857142857142857,5.428571428571429,0.35714285714285715,7,0.3333333333333333,0.16666666666666666,0.5714285714285714,0.14285714285714285,1,0.5,1.0,6.0,0.5,14.0,14.0,12.0,13.0,0,2,1
2,1205740379,2,14,14,12,14,6,0.75,0.125,0.5,0.25,11,0.36363636363636365,0.09090909090909091,5.545454545454546,0.45454545454545453,3,0.25,0.25,0.4,0.4,14,0.5952380952380951,0.5,5.285714285714286,0.4107142857142857,12,0.2857142857142857,0.14285714285714285,0.36363636363636365,0.18181818181818182,1,0.5,1.0,6.0,0.5,14.0,14.0,12.0,13.5,0,2,0
3,1205740380,2,13,13,12,11,8,0.7777777777777778,0.1111111111111111,0.4,0.4,22,0.4318181818181818,0.18181818181818182,5.409090909090909,0.4090909090909091,4,0.25,0.25,0.3333333333333333,0.3333333333333333,19,0.5438596491228069,0.47368421052631576,5.2105263157894735,0.40789473684210525,18,0.3,0.1,0.35714285714285715,0.21428571428571427,2,0.75,0.5,6.0,0.5,13.666666666666666,13.666666666666666,12.0,12.666666666666666,0,1,2
4,1205740381,2,16,16,12,13,15,0.8333333333333334,0.08333333333333333,0.6666666666666666,0.2222222222222222,25,0.46,0.2,5.4,0.39,8,0.2,0.2,0.4444444444444444,0.2222222222222222,24,0.47222222222222215,0.4166666666666667,5.166666666666667,0.40625,20,0.36363636363636365,0.09090909090909091,0.3333333333333333,0.2,6,0.75,0.3333333333333333,6.0,0.4583333333333333,14.25,14.25,12.0,12.75,0,4,3
5,1205740382,2,12,13,11,12,21,0.875,0.0625,0.7272727272727273,0.18181818181818182,33,0.4393939393939394,0.15151515151515152,5.424242424242424,0.3560606060606061,8,0.2,0.2,0.4444444444444444,0.2222222222222222,32,0.44791666666666663,0.46875,5.21875,0.375,23,0.38461538461538464,0.07692307692307693,0.375,0.1875,7,0.7857142857142857,0.2857142857142857,6.0,0.4642857142857143,13.8,14.0,11.8,12.6,-1,1,0
6,1205740383,2,13,12,12,10,28,0.9047619047619048,0.047619047619047616,0.7692307692307693,0.15384615384615385,37,0.43243243243243246,0.13513513513513514,5.4324324324324325,0.3581081081081081,10,0.2,0.2,0.36363636363636365,0.2727272727272727,41,0.48373983739837395,0.4878048780487805,5.219512195121951,0.3780487804878049,27,0.3125,0.125,0.35294117647058826,0.17647058823529413,8,0.8125,0.25,6.0,0.4375,13.666666666666666,13.666666666666666,11.833333333333334,12.166666666666666,1,1,3
7,1205740384,2,13,13,9,13,31,0.9130434782608695,0.043478260869565216,0.7857142857142857,0.14285714285714285,47,0.4574468085106383,0.1276595744680851,5.468085106382978,0.35638297872340424,12,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.25,47,0.46453900709219853,0.5106382978723404,5.212765957446808,0.3723404255319149,30,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666,8,0.8125,0.25,6.0,0.4375,13.571428571428571,13.571428571428571,11.428571428571429,12.285714285714286,0,4,0
8,1205740385,2,11,14,11,13,36,0.9285714285714286,0.03571428571428571,0.7857142857142857,0.14285714285714285,53,0.44339622641509435,0.1320754716981132,5.433962264150943,0.35377358490566035,13,0.16666666666666666,0.16666666666666666,0.3076923076923077,0.23076923076923078,53,0.45911949685534587,0.5660377358490566,5.2075471698113205,0.36792452830188677,37,0.30434782608695654,0.13043478260869565,0.3,0.15,9,0.7777777777777778,0.2222222222222222,6.0,0.4444444444444444,13.25,13.625,11.375,12.375,-3,0,-2
9,1205740386,2,12,13,13,13,39,0.9310344827586207,0.034482758620689655,0.8125,0.125,59,0.4661016949152542,0.15254237288135594,5.4576271186440675,0.3516949152542373,16,0.25,0.125,0.35714285714285715,0.21428571428571427,60,0.4388888888888889,0.5666666666666667,5.183333333333334,0.37916666666666665,41,0.2692307692307692,0.11538461538461539,0.3333333333333333,0.14285714285714285,10,0.8,0.2,6.0,0.425,13.11111111111111,13.555555555555555,11.555555555555555,12.444444444444445,-1,-1,-1
10,1205740387,2,13,13,10,13,42,0.9354838709677419,0.03225806451612903,0.8235294117647058,0.11764705882352941,65,0.47692307692307695,0.15384615384615385,5.430769230769231,0.35,18,0.25,0.125,0.375,0.1875,67,0.44029850746268656,0.5970149253731343,5.17910447761194,0.376865671641791,45,0.2857142857142857,0.10714285714285714,0.30434782608695654,0.13043478260869565,11,0.7272727272727273,0.18181818181818182,6.0,0.4090909090909091,13.1,13.5,11.4,12.5,0,3,0
