label,mean,std,min,max
adaptive_persistent,13.518,1.442829774352386,8,18
adaptive_reset,13.526,1.3990286920865067,6,17
full,12.982,1.3833255544482612,8,17
intentional,12.442,1.2546753405603421,8,17
