game,seed,teamset,adaptive_persistent,adaptive_reset,full,intentional,p1_resp_obs,p1_p_play_num,p1_p_disc_num,p1_p_play_color,p1_p_disc_color,p1_giving_obs,p1_giving_play_bias,p1_giving_color_bias,p1_giving_conservatism,p1_giving_coverage,p2_resp_obs,p2_p_play_num,p2_p_disc_num,p2_p_play_color,p2_p_disc_color,p2_giving_obs,p2_giving_play_bias,p2_giving_color_bias,p2_giving_conservatism,p2_giving_coverage,p3_resp_obs,p3_p_play_num,p3_p_disc_num,p3_p_play_color,p3_p_disc_color,p3_giving_obs,p3_giving_play_bias,p3_giving_color_bias,p3_giving_conservatism,p3_giving_coverage,ma50_adaptive_persistent,ma50_adaptive_reset,ma50_full,ma50_intentional,diff_persistent_reset,diff_persistent_full,diff_persistent_intentional
1,1205740378,1,14,14,13,13,5,0.6,0.2,0.5,0.16666666666666666,0,0.5,0.5,4.0,0.5,5,0.16666666666666666,0.16666666666666666,0.6,0.2,8,0.7291666666666666,0.5,4.0,0.5,5,0.3333333333333333,0.16666666666666666,0.2,0.2,3,0.6666666666666666,1.0,5.0,0.4166666666666667,14.0,14.0,13.0,13.0,0,1,1
2,1205740379,1,14,14,13,13,12,0.6363636363636364,0.09090909090909091,0.42857142857142855,0.2857142857142857,0,0.5,0.5,4.0,0.5,5,0.16666666666666666,0.16666666666666666,0.6,0.2,18,0.7129629629629629,0.7222222222222222,3.7777777777777777,0.4398148148148148,9,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666,6,0.75,0.8333333333333334,5.0,0.4166666666666667,14.0,14.0,13.0,13.0,0,1,1
3,1205740380,1,13,12,13,14,15,0.6153846153846154,0.07692307692307693,0.5,0.25,1,1.0,0.0,7.0,0.5,8,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.14285714285714285,29,0.6666666666666666,0.6896551724137931,3.8275862068965516,0.42816091954022995,15,0.3076923076923077,0.07692307692307693,0.25,0.125,10,0.7,0.9,4.9,0.4,13.666666666666666,13.333333333333334,13.0,13.333333333333334,1,0,-1
4,1205740381,1,18,15,13,13,19,0.6470588235294118,0.058823529411764705,0.5,0.25,1,1.0,0.0,7.0,0.5,10,0.2857142857142857,0.14285714285714285,0.5555555555555556,0.1111111111111111,40,0.6708333333333333,0.65,4.025,0.4229166666666667,17,0.35714285714285715,0.07142857142857142,0.3333333333333333,0.1111111111111111,16,0.6041666666666666,0.75,4.75,0.421875,14.75,13.75,13.0,13.25,3,5,5
5,1205740382,1,14,14,12,10,24,0.6,0.05,0.5,0.2,1,1.0,0.0,7.0,0.5,17,0.3333333333333333,0.1111111111111111,0.5714285714285714,0.07142857142857142,47,0.624113475177305,0.6382978723404256,4.085106382978723,0.41312056737588654,17,0.35714285714285715,0.07142857142857142,0.3333333333333333,0.1111111111111111,21,0.6507936507936508,0.6666666666666666,4.714285714285714,0.44047619047619047,14.6,13.8,12.8,12.6,0,2,4
6,1205740383,1,14,14,13,14,29,0.6,0.04,0.5,0.2,1,1.0,0.0,7.0,0.5,24,0.4166666666666667,0.08333333333333333,0.5,0.05555555555555555,57,0.6081871345029239,0.6491228070175439,4.087719298245614,0.4181286549707603,18,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.1111111111111111,25,0.6266666666666666,0.72,4.68,0.43,14.5,13.833333333333334,12.833333333333334,12.833333333333334,0,1,0
7,1205740384,1,13,13,9,13,34,0.5862068965517241,0.034482758620689655,0.5454545454545454,0.18181818181818182,2,1.0,0.5,7.0,0.375,31,0.5,0.0625,0.47619047619047616,0.09523809523809523,65,0.6025641025641025,0.6461538461538462,4.092307692307692,0.4205128205128206,20,0.29411764705882354,0.11764705882352941,0.3333333333333333,0.1111111111111111,29,0.557471264367816,0.6206896551724138,4.620689655172414,0.4396551724137931,14.285714285714286,13.714285714285714,12.285714285714286,12.857142857142858,0,4,0
8,1205740385,1,12,13,13,12,39,0.59375,0.03125,0.6153846153846154,0.15384615384615385,4,1.0,0.25,6.75,0.3125,37,0.47368421052631576,0.15789473684210525,0.4166666666666667,0.08333333333333333,75,0.5755555555555555,0.6666666666666666,4.08,0.41444444444444445,23,0.2631578947368421,0.10526315789473684,0.3,0.1,31,0.586021505376344,0.6129032258064516,4.645161290322581,0.43548387096774194,14.0,13.625,12.375,12.75,-1,-1,0
9,1205740386,1,15,15,12,12,45,0.6176470588235294,0.029411764705882353,0.5882352941176471,0.17647058823529413,5,1.0,0.2,6.6,0.3,40,0.47619047619047616,0.14285714285714285,0.44,0.08,81,0.5699588477366255,0.6419753086419753,4.098765432098766,0.4146090534979424,24,0.25,0.1,0.3,0.1,38,0.6622807017543859,0.631578947368421,4.7368421052631575,0.40131578947368424,14.11111111111111,13.777777777777779,12.333333333333334,12.666666666666666,0,3,3
10,1205740387,1,12,11,11,13,51,0.5945945945945946,0.02702702702702703,0.55,0.15,6,1.0,0.16666666666666666,6.666666666666667,0.2916666666666667,43,0.45454545454545453,0.18181818181818182,0.4444444444444444,0.07407407407407407,92,0.5706521739130435,0.6413043478260869,4.108695652173913,0.41394927536231885,26,0.2727272727272727,0.09090909090909091,0.3,0.1,43,0.6782945736434108,0.6046511627906976,4.6976744186046515,0.38372093023255816,13.9,13.5,12.2,12.7,1,1,-1
11,1205740388,1,12,12,13,15,54,0.5945945945945946,0.02702702702702703,0.5652173913043478,0.13043478260869565,6,1.0,0.16666666666666666,6.666666666666667,0.2916666666666667,48,0.4583333333333333,0.20833333333333334,0.43333333333333335,0.06666666666666667,101,0.5643564356435643,0.6237623762376238,4.138613861386139,0.41171617161716173,26,0.2727272727272727,0.09090909090909091,0.3,0.1,50,0.6866666666666665,0.58,4.64,0.38,13.727272727272727,13.363636363636363,12.272727272727273,12.909090909090908,0,-1,-3
12,1205740389,1,12,12,11,12,57,0.6052631578947368,0.02631578947368421,0.56,0.12,7,0.8571428571428571,0.2857142857142857,6.714285714285714,0.2857142857142857,51,0.46153846153846156,0.19230769230769232,0.45161290322580644,0.06451612903225806,109,0.5688073394495413,0.6146788990825688,4.220183486238532,0.404434250764526,28,0.2608695652173913,0.08695652173913043,0.2727272727272727,0.18181818181818182,57,0.7076023391812865,0.5964912280701754,4.7894736842105265,0.36549707602339176,13.583333333333334,13.25,12.166666666666666,12.833333333333334,0,1,0
13,1205740390,1,13,12,14,12,60,0.6,0.025,0.5384615384615384,0.15384615384615385,8,0.875,0.375,6.75,0.28125,54,0.4642857142857143,0.17857142857142858,0.4375,0.0625,120,0.5541666666666667,0.6083333333333333,4.241666666666666,0.3944444444444445,30,0.25,0.08333333333333333,0.25,0.16666666666666666,65,0.6974358974358974,0.6,4.753846153846154,0.3628205128205128,13.538461538461538,13.153846153846153,12.307692307692308,12.76923076923077,1,-1,1
