game,seed,teamset,adaptive_persistent,adaptive_reset,full,intentional,p1_resp_obs,p1_p_play_num,p1_p_disc_num,p1_p_play_color,p1_p_disc_color,p1_giving_obs,p1_giving_play_bias,p1_giving_color_bias,p1_giving_conservatism,p1_giving_coverage,p2_resp_obs,p2_p_play_num,p2_p_disc_num,p2_p_play_color,p2_p_disc_color,p2_giving_obs,p2_giving_play_bias,p2_giving_color_bias,p2_giving_conservatism,p2_giving_coverage,p3_resp_obs,p3_p_play_num,p3_p_disc_num,p3_p_play_color,p3_p_disc_color,p3_giving_obs,p3_giving_play_bias,p3_giving_color_bias,p3_giving_conservatism,p3_giving_coverage,ma50_adaptive_persistent,ma50_adaptive_reset,ma50_full,ma50_intentional,diff_persistent_reset,diff_persistent_full,diff_persistent_intentional
1,1205740378,4,15,15,15,15,5,0.5714285714285714,0.14285714285714285,0.5,0.25,7,0.14285714285714285,0.5714285714285714,3.142857142857143,0.35714285714285715,6,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,6,0.75,0.8333333333333334,4.0,0.3333333333333333,3,0.25,0.5,0.6,0.2,0,0.5,0.5,4.0,0.5,15.0,15.0,15.0,15.0,0,0,0
2,1205740379,4,15,14,14,14,10,0.6,0.1,0.5,0.16666666666666666,15,0.3333333333333333,0.6,3.466666666666667,0.38333333333333336,7,0.3333333333333333,0.16666666666666666,0.2857142857142857,0.2857142857142857,16,0.65625,0.6875,4.0625,0.375,4,0.2,0.4,0.6,0.2,0,0.5,0.5,4.0,0.5,15.0,14.5,14.5,14.5,1,1,1
3,1205740380,4,16,15,15,12,11,0.5454545454545454,0.09090909090909091,0.5,0.16666666666666666,21,0.5,0.5714285714285714,3.7142857142857144,0.40476190476190477,12,0.2,0.1,0.375,0.25,24,0.5625,0.7083333333333334,3.7916666666666665,0.375,7,0.2,0.4,0.625,0.125,0,0.5,0.5,4.0,0.5,15.333333333333334,14.666666666666666,14.666666666666666,13.666666666666666,1,1,4
4,1205740381,4,15,15,14,11,15,0.5333333333333333,0.06666666666666667,0.5,0.16666666666666666,32,0.421875,0.625,3.75,0.3671875,14,0.18181818181818182,0.09090909090909091,0.3333333333333333,0.2222222222222222,32,0.5885416666666667,0.71875,3.96875,0.3828125,9,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.1111111111111111,0,0.5,0.5,4.0,0.5,15.25,14.75,14.5,13.0,0,1,4
5,1205740382,4,16,17,17,14,19,0.5555555555555556,0.05555555555555555,0.5714285714285714,0.14285714285714285,39,0.44871794871794873,0.6153846153846154,3.8974358974358974,0.3717948717948718,15,0.18181818181818182,0.09090909090909091,0.3,0.2,38,0.6140350877192983,0.7105263157894737,4.052631578947368,0.3815789473684211,16,0.1111111111111111,0.3333333333333333,0.6923076923076923,0.07692307692307693,0,0.5,0.5,4.0,0.5,15.4,15.2,15.0,13.2,-1,-1,2
6,1205740383,4,15,15,15,12,22,0.55,0.05,0.625,0.125,43,0.45348837209302323,0.627906976744186,3.9069767441860463,0.37209302325581395,17,0.18181818181818182,0.09090909090909091,0.25,0.16666666666666666,48,0.6736111111111112,0.7291666666666666,4.041666666666667,0.3645833333333333,23,0.1,0.4,0.7894736842105263,0.05263157894736842,0,0.5,0.5,4.0,0.5,15.333333333333334,15.166666666666666,15.0,13.0,0,0,3
7,1205740384,4,14,13,14,14,25,0.5454545454545454,0.09090909090909091,0.6666666666666666,0.1111111111111111,50,0.46,0.6,3.88,0.365,19,0.25,0.08333333333333333,0.23076923076923078,0.15384615384615385,55,0.6606060606060606,0.7272727272727273,3.963636363636364,0.36363636363636365,30,0.08333333333333333,0.4166666666666667,0.7916666666666666,0.041666666666666664,0,0.5,0.5,4.0,0.5,15.142857142857142,14.857142857142858,14.857142857142858,13.142857142857142,1,0,0
8,1205740385,4,13,13,13,11,26,0.5454545454545454,0.09090909090909091,0.6,0.1,60,0.45,0.6333333333333333,3.816666666666667,0.3458333333333333,27,0.23529411764705882,0.058823529411764705,0.3125,0.125,61,0.6530054644808744,0.6885245901639344,3.9508196721311477,0.35655737704918034,32,0.08333333333333333,0.4166666666666667,0.8076923076923077,0.038461538461538464,0,0.5,0.5,4.0,0.5,14.875,14.625,14.625,12.875,0,0,2
9,1205740386,4,13,13,13,14,30,0.5416666666666666,0.08333333333333333,0.5833333333333334,0.08333333333333333,71,0.4507042253521127,0.6197183098591549,3.9014084507042255,0.34507042253521125,30,0.25,0.1,0.3125,0.125,66,0.6565656565656566,0.696969696969697,4.0,0.35984848484848486,34,0.08333333333333333,0.4166666666666667,0.7857142857142857,0.03571428571428571,0,0.5,0.5,4.0,0.5,14.666666666666666,14.444444444444445,14.444444444444445,13.0,0,0,-1
10,1205740387,4,14,13,15,12,33,0.5769230769230769,0.07692307692307693,0.5384615384615384,0.07692307692307693,81,0.4691358024691358,0.6296296296296297,3.876543209876543,0.33641975308641975,35,0.2608695652173913,0.08695652173913043,0.2777777777777778,0.1111111111111111,71,0.6666666666666667,0.676056338028169,3.9859154929577465,0.35563380281690143,37,0.08333333333333333,0.4166666666666667,0.7419354838709677,0.03225806451612903,0,0.5,0.5,4.0,0.5,14.6,14.3,14.5,12.9,1,-1,2
