label,mean,std,min,max
adaptive_persistent,14.684,1.3468325649307555,10,19
adaptive_reset,14.507,1.3732577459591615,8,19
full,14.017,1.3771737753847941,9,19
intentional,13.439,1.2782460298834935,10,17
