label,mean,std,min,max
adaptive_persistent,15.299,1.6456935642176242,9,19
adaptive_reset,15.233,1.6737719416074917,6,20
full,14.288,1.7163921469180643,8,19
intentional,14.327,1.4262205667795935,9,19
